i t ke
0 0 0.00000e+00
1 0.0249339 1.45565e-05
2 0.0437004 3.52141e-06
3 0.0624669 2.01223e-06
4 0.0812335 1.87880e-06
5 0.1 1.83849e-06
6 0.12 2.07727e-06
7 0.14 2.21774e-06
8 0.16 2.38170e-06
9 0.18 2.58571e-06
10 0.2 2.80794e-06
11 0.22 3.02551e-06
12 0.24 3.27867e-06
13 0.26 3.52114e-06
14 0.28 3.76018e-06
15 0.3 3.99802e-06
16 0.32 4.21195e-06
17 0.34 4.39423e-06
18 0.36 4.54982e-06
19 0.38 4.69707e-06
20 0.4 4.81302e-06
21 0.42 4.90425e-06
22 0.436 4.89649e-06
23 0.452 4.94081e-06
24 0.468 4.95845e-06
25 0.484 4.95935e-06
26 0.5 4.94551e-06
27 0.516667 4.91719e-06
28 0.533333 4.86918e-06
29 0.55 4.80568e-06
30 0.566667 4.73639e-06
31 0.583333 4.65256e-06
32 0.6 4.56157e-06
33 0.616667 4.46338e-06
34 0.633333 4.36146e-06
35 0.65 4.25196e-06
36 0.666667 4.14039e-06
37 0.683333 4.02597e-06
38 0.7 3.90807e-06
39 0.716667 3.79458e-06
40 0.733333 3.67903e-06
41 0.75 3.56204e-06
42 0.766667 3.44634e-06
43 0.783333 3.32849e-06
44 0.8 3.21207e-06
45 0.816667 3.10403e-06
46 0.833333 2.99505e-06
47 0.85 2.88576e-06
48 0.866667 2.78028e-06
49 0.883333 2.68009e-06
50 0.9 2.58067e-06
51 0.916667 2.48401e-06
52 0.933333 2.38752e-06
53 0.95 2.29043e-06
54 0.966667 2.20212e-06
55 0.983333 2.11422e-06
56 1 2.02826e-06
57 1.01667 1.94555e-06
58 1.03333 1.86357e-06
59 1.05 1.78661e-06
60 1.06667 1.70937e-06
61 1.08333 1.63342e-06
62 1.1 1.56202e-06
63 1.11667 1.49581e-06
64 1.13333 1.42970e-06
65 1.15 1.36543e-06
66 1.16667 1.30422e-06
67 1.18333 1.24642e-06
68 1.2 1.18994e-06
69 1.21667 1.13526e-06
70 1.23333 1.08260e-06
71 1.25 1.03349e-06
72 1.26667 9.85804e-07
73 1.28333 9.38793e-07
74 1.3 8.92918e-07
75 1.31667 8.50148e-07
76 1.33333 8.11919e-07
77 1.35 7.73726e-07
78 1.36667 7.37770e-07
79 1.38333 7.02616e-07
80 1.4 6.68607e-07
81 1.41667 6.36878e-07
82 1.43333 6.06835e-07
83 1.45 5.77042e-07
84 1.46667 5.48402e-07
85 1.48333 5.22044e-07
86 1.5 4.97308e-07
87 1.51667 4.72853e-07
88 1.53333 4.50556e-07
89 1.55 4.28659e-07
90 1.56667 4.08065e-07
91 1.58333 3.89875e-07
92 1.6 3.70273e-07
93 1.61667 3.51892e-07
94 1.63333 3.35828e-07
95 1.65 3.19920e-07
96 1.66667 3.06221e-07
97 1.68333 2.91871e-07
98 1.7 2.78673e-07
99 1.71667 2.66387e-07
100 1.73333 2.54630e-07
101 1.75 2.44670e-07
102 1.76667 2.34419e-07
103 1.78333 2.24758e-07
104 1.8 2.15588e-07
105 1.81667 2.07753e-07
106 1.83333 1.99483e-07
107 1.85 1.92299e-07
108 1.86667 1.85334e-07
109 1.88333 1.79362e-07
110 1.9 1.73543e-07
